datum,georegion,entries
2020-02-27,CH,5
2020-10-25,CH,197
2020-11-06,CH,271
2020-11-07,CH,223
2020-11-08,CH,175
2020-11-13,CH,244
2020-11-25,CH,176
2021-01-18,CH,116
2021-02-16,CH,48
2021-02-17,CH,50
2021-02-18,CH,67
2021-10-01,CH,27
2021-10-18,CH,24
2021-11-17,CH,88
2020-06-10,VS,0
2021-11-18,CH,103
2021-12-31,CH,113
2022-02-21,CH,115
2022-02-22,CH,107
2022-02-23,CH,90
2022-02-24,CH,88
2022-02-25,CH,70
2022-03-15,CH,148
2022-03-16,CH,133
2022-03-18,CH,154
2022-03-19,CH,105
2022-03-22,CH,135
2022-03-24,CH,112
2022-03-25,CH,116
2022-03-28,CH,145
2022-03-29,CH,115
2022-03-30,CH,115
2022-03-31,CH,89
2022-04-01,CH,102
2022-04-02,CH,64
2022-04-03,CH,72
2022-04-04,CH,92
2022-04-05,CH,98
2022-04-06,CH,57
2022-04-07,CH,54
2022-04-08,CH,69
2022-04-09,CH,56
2022-04-10,CH,49
2022-04-11,CH,75
2022-04-13,CH,80
2022-04-14,CH,61
2022-04-15,CH,49
2022-04-16,CH,40
2022-04-17,CH,42
2022-04-18,CH,43
2022-04-19,CH,55
2022-04-20,CH,46
2022-04-21,CH,49
2022-04-22,CH,44
2022-04-23,CH,34
2022-04-24,CH,39
2022-04-25,CH,50
2022-04-26,CH,36
2022-04-27,CH,26
2022-04-28,CH,23
2022-04-29,CH,40
2022-04-30,CH,26
2022-05-01,CH,15
2022-05-02,CH,38
2022-05-03,CH,43
2022-05-04,CH,21
2022-05-05,CH,31
2022-05-06,CH,21
2022-05-07,CH,23
2022-05-08,CH,10
2022-05-09,CH,34
2022-05-10,CH,25
2022-05-11,CH,29
2022-05-13,CH,29
2022-05-14,CH,16
2022-05-15,CH,16
2022-05-16,CH,17
2022-05-17,CH,22
2022-05-18,CH,23
2022-05-19,CH,33
2022-05-20,CH,19
2022-05-21,CH,8
2022-05-22,CH,12
2022-05-23,CH,19
2022-05-24,CH,21
2020-06-11,VS,0
2020-06-12,VS,1
2020-02-28,CH,5
2022-05-25,CH,15
2022-05-26,CH,13
2022-05-27,CH,22
2022-05-28,CH,11
2022-05-29,CH,16
2022-05-30,CH,19
2022-05-31,CH,27
2022-06-01,CH,25
2022-06-02,CH,33
2022-06-03,CH,18
2022-06-04,CH,17
2022-06-05,CH,17
2020-06-13,VS,0
2020-03-01,CH,10
2022-06-06,CH,25
2022-06-07,CH,47
2022-06-08,CH,24
